gene,logFC,PValue
gene_4766,-0.672261544270595,0.0262121580561497
gene_4776,1.63916696368981,0.0210244038047794
gene_4777,1.637886376074,4.15001008304099e-07
gene_4779,0.835749622296104,0.00572816094313047
gene_4799,-5.5872543261841,8.08314815166916e-42
gene_4809,1.96888259504021,1
gene_4838,0.312817994613505,0.721236176008052
gene_4846,0,1
gene_4848,0,1
gene_4864,1.08395558131646,0.000367208353615027
gene_4866,0.498041754100286,0.101033496375952
gene_4897,0.811580675762138,0.00716133820230137
gene_4939,-2.57557872150751,0.50529317856625
gene_4948,-3.47699161128211,0.132980923090222
gene_4961,-0.159618366101859,0.59661644709391
gene_4975,0.276744170557126,0.358144645839853
gene_5001,-4.82416262515029,7.1713084269478e-43
gene_5007,0.107443183770478,0.719981485568262
gene_5020,-1.74438349311612,1.54315326670736e-08
gene_5022,1.0617819725188,0.000452829877277239
gene_5059,1.96614319547234,3.32236690432897e-10
gene_5073,0.0328599074401136,1
gene_5075,0.450829198809243,0.13498011126778
gene_5100,0.86728485900988,0.00414427323006379
gene_5102,-0.641458377185851,1
gene_5108,-4.4844391790502,8.41388123437404e-22
gene_5156,0.803281862394068,0.00804670910423944
gene_5175,0.518487489138998,0.085684459075512
gene_5187,-1.1028191148924,0.000649145578799207
gene_5189,2.23732379321908,8.03023067425747e-12
gene_5194,0.633443406786782,0.0356354435544053
gene_5206,-0.91555957820608,0.00253376046378526
gene_5238,-0.59553719352806,0.0480073628039642
gene_5243,1.3033125879146,3.21604114345694e-05
gene_5249,-3.1811308472764,6.67366981112176e-09
gene_5302,0.0757920168236084,0.801864738755469
gene_5339,0.260755150386813,0.385429729655422
gene_5379,-1.47236727444401,3.14561682369688e-05
gene_5381,-2.97994085096533,0.000745006419928922
gene_5421,-2.58516184589554,0.50529317856625
gene_5436,0.23484916632225,0.436814128042386
gene_5448,1.90146289445823,1.01086492252802e-09
gene_5469,-1.05889783186474,0.000488454020668966
gene_5471,-5.28451547802907,1.11819285817509e-41
gene_5483,-0.139991812715227,0.640750000318321
gene_5486,-1.10977278247497,0.000261232056282499
gene_5513,-1.95608950247664,0.0214538114447603
gene_5700,-0.252552395976098,0.399649059006087
gene_5801,-0.789797001038447,0.00903381313320675
gene_5810,0.189561882161969,0.527387216771363
gene_5812,0.516486431111429,0.0867450295255974
gene_5844,-0.923015847800632,0.368749451618074
gene_5882,-0.911282432436622,0.00339395641167048
gene_5884,0.795002915985743,0.00829658846415504
gene_5889,0.376411530509396,0.212693403821716
gene_5893,0.468130124007999,0.118868518969493
gene_5955,-0.203410257404655,0.497851346008559
gene_5961,-0.232771346956808,0.599277503167915
gene_5981,-0.158294920144613,0.999999999999999
gene_6007,-0.781091703610314,0.00956665200538689
gene_6015,1.28890805780353,2.76898462983532e-05
gene_6016,-4.46994869305303,3.4072270807108e-35
gene_6025,-1.87599805775746,1.78187757074214e-09
gene_6042,-0.808675158316153,0.00746010886007167
gene_6047,-1.88954749002765,4.47437368069045e-09
gene_6059,-6.46485396275317,1.61518373082774e-08
gene_6062,0.902917383490007,0.00333046761256505
gene_6071,-2.56872160577601,0.50529317856625
gene_6074,0,1
gene_6075,0,1
gene_6114,-0.941256039752386,0.00187364133586518
gene_6116,0,1
gene_6118,-1.73933985500224,1.70053781299267e-08
gene_6125,1.17489433211867,0.000107898700124991
gene_6128,-2.87866174316863,5.45435633323152e-05
gene_6194,-0.34063954094058,0.258917493749735
gene_6210,-4.29690066962363,5.5012917146683e-36
gene_6282,-0.53283143956731,0.0769056268940781
gene_6283,-0.415050306970463,0.787700404189986
gene_6327,0.408678586655716,0.173126245341091
gene_6377,0,1
gene_6432,-0.190343404392045,0.525883967030944
gene_6451,0.274615123627297,0.360121953727295
gene_6453,-0.338154059342385,0.259832481028092
gene_6459,0.0923269227254308,0.760395089787229
gene_6468,3.68543967077394,1.20217988110923e-24
gene_6530,0.492110651410865,0.102821720914099
gene_6534,-5.9110489404194,9.72369097452164e-57
gene_6555,-1.03471269695271,0.00068992456327115
gene_6576,0.290693855524362,0.333373089967041
gene_6606,-1.78376866310846,1
gene_6607,-0.440621392018878,0.144266633554689
gene_6611,-6.11956770495249,7.72393600863214e-07
gene_6625,1.46285303542881,1.80902292686335e-06
gene_6634,2.59310146239718,6.77792095343207e-16
gene_6638,1.95802587210453,2.33248453333774e-06
gene_6652,-0.132621661463684,0.658673757222678
gene_6659,0,1
gene_6695,0.589860541661688,0.0520498378107804
gene_6704,-0.930007685065152,0.00215152751368533
gene_6712,0.629268079662819,0.0368006742009051
gene_6715,-0.593394917970671,0.0486989152849697
gene_6740,-0.00125379480697051,1
gene_6744,0.74204575429709,0.0138769414447283
gene_6747,-4.65540646488998,1.25752181311966e-36
gene_6756,-1.60742538549442,1.86475650227361e-07
gene_6757,0.104795467197519,0.729600386638512
gene_6788,0,1
gene_6831,1.20465057570461,7.39166123995939e-05
gene_6837,-0.426427678507637,0.186036675531768
gene_7001,-3.79435218480383,6.33545114883651e-07
gene_7038,-0.748950226572156,0.0228381372293546
gene_7047,-0.36482900748021,0.22478506678806
gene_7062,-4.09073837928186,2.43336187265244e-11
gene_7080,0.901589468149037,0.00289134379981352
gene_7129,-3.44322219157151,0.00120817686656011
gene_7168,0.452419447659155,0.131728195924159
