gene,log2FC,p-value
gene_4766,-0.656692981042068,7.5255840104860000000000E-10
gene_4776,1.73267082769035,0.0373965259841074
gene_4777,1.66170191113274,3.66526366454237e-11
gene_4779,0.855030213064812,1.18021994222683e-09
gene_4799,-5.59377343512496,2.87609654717716e-55
gene_4809,14.7191007984364,0.940616410590514
gene_4838,0.231274592735351,0.749034659103567
gene_4846,NA,NA
gene_4848,NA,NA
gene_4864,1.10261632290297,1.07705684031495e-08
gene_4866,0.513905015333878,4.41874791312458e-07
gene_4897,0.829021533689247,1.65818712881628e-09
gene_4939,-16.3091325655746,0.952406515038182
gene_4948,-17.4867781727103,0.94745618903305
gene_4961,-0.139770869525161,0.375500463358936
gene_4975,0.296596570776757,0.0426644792510627
gene_5001,-4.80446610692985,2.08072292777707e-84
gene_5007,0.126971304201732,0.403898604662248
gene_5020,-1.73255841060976,4.70097687013112e-25
gene_5022,1.0786700842953,3.98902693069824e-20
gene_5059,1.98574223003948,6.84189598088862e-33
gene_5073,-0.0347322662139586,0.965723877276652
gene_5075,0.467670898369604,5.86566263396167e-05
gene_5100,0.885356604684584,3.98861178274093e-09
gene_5102,-0.443470987531842,0.843990198063897
gene_5108,-4.5163079681325,1.29408633908353e-13
gene_5156,0.821562327549568,4.43426690589427e-09
gene_5175,0.536274523043991,2.88941966664695e-06
gene_5187,-1.09877048523326,0.00181307486692668
gene_5189,2.25714161141647,4.87133749355737e-35
gene_5194,0.655448319776241,0.000197403667364106
gene_5206,-0.898571197413041,4.01078100911412e-10
gene_5238,-0.580894266397949,2.59134462088713e-05
gene_5243,1.32431499351432,2.11196084628217e-05
gene_5249,-3.32592429257423,0.00115583863196128
gene_5302,0.09008539372988,0.377422416844076
gene_5339,0.275092525263809,0.0637836802131577
gene_5379,-1.46274048555446,0.00127921747514478
gene_5381,-3.11326522404526,0.0142689238402836
gene_5421,-16.5414214501618,0.951443450597782
gene_5436,0.249677153793736,0.181101737804127
gene_5448,1.92166568407839,2.00315611731826e-31
gene_5469,-1.04474913016996,3.84540633601754e-21
gene_5471,-5.28385798789979,2.77397739343787e-40
gene_5483,-0.127989399935214,0.359661740626801
gene_5486,-1.09202348685111,1.86155381573913e-13
gene_5513,-2.05444272667122,0.140556227340223
gene_5700,-0.238963342101531,0.0439487731484459
gene_5801,-0.770169526832289,8.81005414838732e-07
gene_5810,0.201978976410748,0.126810280339582
gene_5812,0.534606241102417,3.88277618062906e-06
gene_5844,-1.07728486427471,0.457704622321691
gene_5882,-0.902521650192707,3.46164711882326e-05
gene_5884,0.809638002479267,4.33354993825425e-10
gene_5889,0.392625928656182,0.00606153704193028
gene_5893,0.483335916742433,5.29742863414601e-13
gene_5955,-0.184225984271642,NA
gene_5961,-0.236947780555839,0.631379235621596
gene_5981,-0.181883463642036,0.895701105744221
gene_6007,-0.765351156324828,1.79418339469784e-13
gene_6015,1.3055835206763,3.38032533665963e-21
gene_6016,-4.461614384754,2.05456438534246e-35
gene_6025,-1.86072852247277,2.12279675522392e-52
gene_6042,-0.794717619021842,2.32198098870616e-06
gene_6047,-1.84710166564375,0.0225274095044121
gene_6059,-19.9872685105974,0.936424447362371
gene_6062,0.919440801013933,7.95432975824965e-06
gene_6071,-16.1979618426877,0.952865516175879
gene_6074,NA,NA
gene_6075,NA,NA
gene_6114,-0.929265000199982,5.2242808516041e-12
gene_6116,NA,NA
gene_6118,-1.71755588890256,6.82918748108051e-14
gene_6125,1.19087077885059,3.37593115415834e-80
gene_6128,-3.15553470536168,0.0594820638652037
gene_6194,-0.323115096931603,0.0313410337890698
gene_6210,-4.28001329827044,1.90223795805605e-16
gene_6282,-0.517599417551456,0.00145196248525528
gene_6283,-0.443905637661593,0.713415368112495
gene_6327,0.430434168932954,0.0093255203691677
gene_6377,NA,NA
gene_6432,-0.171759703705961,0.24763077396432
gene_6451,0.294782778111992,0.0556159048666999
gene_6453,-0.324214312446276,0.00015194479261553
gene_6459,0.101912300664959,0.790791331609009
gene_6468,3.7059544419127,3.75102506593063e-26
gene_6530,0.507965000885421,7.26663725510381e-09
gene_6534,-5.90466251744321,6.13873982457644e-92
gene_6555,-1.020460471307,9.72945739640913e-21
gene_6576,0.303801504095807,0.0813437160596521
gene_6606,-14.9368496484354,0.957969882708363
gene_6607,-0.426710455366167,0.00391101628292928
gene_6611,-19.5503603584337,0.938401213952406
gene_6625,1.47903986480894,1.7354948572656e-21
gene_6634,2.61802959974667,1.07385686932847e-25
gene_6638,1.98946939958707,3.55303154983188e-07
gene_6652,-0.118603258773419,0.599747057770067
gene_6659,NA,NA
gene_6695,0.602531925688092,2.91194707977814e-06
gene_6704,-0.917024999161664,2.12337989104392e-13
gene_6712,0.64973641963905,9.99347608605958e-05
gene_6715,-0.57923663572141,5.44682126468192e-09
gene_6740,0.018452071890162,0.950941323581245
gene_6744,0.761951294021171,3.72948180232647e-07
gene_6747,-4.63985295921978,2.41424897394179e-43
gene_6756,-1.59478133939821,4.61388751748625e-25
gene_6757,0.118678436678402,0.437279555516087
gene_6788,NA,NA
gene_6831,1.22144579431859,1.12615029103309e-29
gene_6837,-0.409537570585229,0.107771535574068
gene_7001,-4.02284249208115,0.000620491764812969
gene_7038,-0.676662405629183,0.513166917600363
