gene,log2FC,p-value
gene_5379,1.44546061247424,5.12603590392402e-05
gene_5436,-0.251339986205007,0.673288091277351
gene_5448,-1.92325691703799,0
gene_5469,1.04461717257283,0
gene_5471,5.23813225115906,0
gene_5483,0.128380158647257,0.913128288987964
gene_5486,1.09124136453047,0
gene_5700,0.239364355919082,0.42035897094834
gene_5801,0.768820405706204,1.23893793591012e-06
gene_5810,-0.201711492316668,0.520421535148642
gene_5812,-0.534388813298915,5.33417754411403e-12
gene_5882,0.900836107827399,0.00358418307747854
gene_5884,-0.809670557041386,0
gene_5889,-0.392088313020014,0.00652233579521166
gene_5893,-0.483088292574117,0
gene_5955,0.183958418357229,0.630962368272814
gene_5961,0.273304298186091,0.879730300822346
gene_6007,0.765054628007243,0
gene_6015,-1.30894943902641,0
gene_6016,4.43871941818815,0
gene_6025,1.85907933117812,0
gene_6042,0.795291442228862,3.98976686297736e-05
gene_6047,1.83940637438794,0.273931370594324
gene_6059,4.23634716818364,0.999999999958048
gene_6062,-0.92339199250679,3.8877644260582e-06
gene_6114,0.929624469806883,2.01870742344568e-11
gene_6118,1.71714044167215,1.68143585055347e-07
gene_6125,-1.19092062850656,0
gene_6128,2.61051029418325,0.0945160689140838
gene_6194,0.321975517562528,0.0938507420185447
gene_6210,4.27852921959026,1.03101009951700000000E-08
gene_6282,0.516952905826121,0.000141673541098286
gene_6327,-0.430670992970762,0.153495499534056
gene_6432,0.171538705521052,0.72348097733126
gene_6451,-0.294859958782355,0.437436842674369
gene_6453,0.324503171716476,8.91840934436061e-10
gene_6459,-0.101580400035168,0.885173603830616
gene_6468,-3.64486292513829,0
gene_6530,-0.508486851757898,0
gene_6534,5.90105095293723,0
gene_6555,1.01790487394138,0
gene_6576,-0.303727028273532,0.458863065812711
gene_6607,0.427195997935747,0.00955798627673943
gene_6625,-1.47931743242225,0
gene_6634,-2.61593339693091,0
gene_6638,-1.94619651382266,0.999999554417959
gene_6652,0.118769396424504,0.918066785315988
gene_6695,-0.601912677627275,4.44089209850063e-14
gene_6704,0.91783716368716,2.22044604925031e-16
gene_6712,-0.650238932761152,0.000376762948736897
gene_6715,0.579589755003858,0
gene_6740,-0.0186851534201542,0.808210440920255
gene_6744,-0.762485855066339,2.53888318146878e-08
gene_6747,4.60992881776305,0
gene_6756,1.59446437483115,0
